,Distance,Gender,Time,Name,Date,Year
0,1500.0,m,235.80000000000001,Abel Kiviat ,2012-06-08 00:00:00,1912.5
1,1500.0,m,234.69999999999999,John Zander ,2017-08-05 00:00:00,1917.6666666666667
2,1500.0,m,232.59999999999999,Paavo Nurmi ,2024-06-19 00:00:00,1924.5
3,1500.0,m,231.0,Otto Peltzer ,2026-09-11 00:00:00,1926.75
4,1500.0,m,229.19999999999999,Jules Ladoumègue ,2030-10-05 00:00:00,1930.8333333333333
5,1500.0,m,229.19999999999999,Luigi Beccali ,2033-09-09 00:00:00,1933.75
6,1500.0,m,229.0,Luigi Beccali ,2033-09-17 00:00:00,1933.75
7,1500.0,m,228.80000000000001,Bill Bonthron ,2034-06-30 00:00:00,1934.5
8,1500.0,m,227.80000000000001,Jack Lovelock ,2036-08-06 00:00:00,1936.6666666666667
9,1500.0,m,227.59999999999999,Gunder Hägg,2041-08-10 00:00:00,1941.6666666666667
10,1500.0,m,225.80000000000001,Gunder Hägg,2042-07-17 00:00:00,1942.5833333333333
11,1500.0,m,225.0,Arne Andersson ,2043-08-17 00:00:00,1943.6666666666667
12,1500.0,m,223.0,Gunder Hägg,2044-07-07 00:00:00,1944.5833333333333
13,1500.0,m,223.0,Lennart Strand ,2047-07-15 00:00:00,1947.5833333333333
14,1500.0,m,223.0,Werner Lueg ,2052-06-29 00:00:00,1952.5
15,1500.0,m,222.80000000000001,Wes Santee,2054-06-04 00:00:00,1954.5
16,1500.0,m,221.80000000000001,John Land,2054-06-21 00:00:00,1954.5
17,1500.0,m,220.80000000000001,Sándor Iharos ,2055-07-28 00:00:00,1955.5833333333335
18,1500.0,m,220.80000000000001,László Tábori,2055-09-06 00:00:00,1955.75
19,1500.0,m,220.80000000000001,Gunnar Nielsen ,2055-09-06 00:00:00,1955.75
20,1500.0,m,220.59999999999999,István Rózsavölgyi ,2056-08-03 00:00:00,1956.6666666666665
21,1500.0,m,220.19999999999999,Olavi Salsola ,2057-07-11 00:00:00,1957.5833333333335
22,1500.0,m,220.19999999999999,Olavi Salonen ,2057-07-11 00:00:00,1957.5833333333335
23,1500.0,m,218.09999999999999,Stanislav Jungwirth ,2057-07-12 00:00:00,1957.5833333333335
24,1500.0,m,216.0,Herb Elliott,2058-08-28 00:00:00,1958.6666666666665
25,1500.0,m,215.59999999999999,Herb Elliott,2060-09-06 00:00:00,1960.75
26,1500.0,m,213.09999999999999,Jim Ryun ,1967-07-08 00:00:00,1967.5833333333333
27,1500.0,m,212.19999999999999,Filbert Bayi ,1974-02-02 00:00:00,1974.1666666666667
28,1500.0,m,212.09999999999999,Sebastian Coe,1979-08-15 00:00:00,1979.6666666666667
29,1500.0,m,212.09999999999999,Steve Ovett ,1980-07-15 00:00:00,1980.5833333333333
30,1500.0,m,211.40000000000001,Steve Ovett ,1980-08-27 00:00:00,1980.6666666666667
31,1500.0,m,211.24000000000001,Sydney Maree ,1983-08-28 00:00:00,1983.6666666666667
32,1500.0,m,210.77000000000001,Steve Ovett ,1983-09-04 00:00:00,1983.75
33,1500.0,m,209.67000000000002,Steve Cram ,1985-07-16 00:00:00,1985.5833333333333
34,1500.0,m,209.46000000000001,Saïd Aouita ,1985-08-23 00:00:00,1985.6666666666667
35,1500.0,m,208.86000000000001,Noureddine Morceli ,1992-09-06 00:00:00,1992.75
36,1500.0,m,207.37,Noureddine Morceli ,1995-07-12 00:00:00,1995.5833333333333
37,1500.0,m,206.0,Hicham El Guerrouj,1998-07-14 00:00:00,1998.5833333333333
