,Distance,Gender,Time,Name,Date,Year
0,200.0,f,27.8,Alice Cast ,2022-08-20 00:00:00,1922.6666666666667
1,200.0,f,26.8,Mary Lines,2022-09-23 00:00:00,1922.75
2,200.0,f,26.2,Eileen Edwards ,2024-08-20 00:00:00,1924.6666666666667
3,200.0,f,26.0,Eileen Edwards ,2026-10-03 00:00:00,1926.8333333333333
4,200.0,f,25.4,Eileen Edwards ,2027-06-12 00:00:00,1927.5
5,200.0,f,24.6,Tollien Schuurman ,2033-08-13 00:00:00,1933.6666666666667
6,200.0,f,23.6,Stanisawa Walasiewicz ,2035-08-04 00:00:00,1935.6666666666667
7,200.0,f,23.6,Marjorie Jackson ,2052-07-25 00:00:00,1952.5833333333335
8,200.0,f,23.4,Marjorie Jackson ,2052-07-25 00:00:00,1952.5833333333335
9,200.0,f,23.2,Betty Cuthbert ,2056-09-16 00:00:00,1956.75
10,200.0,f,23.2,Betty Cuthbert ,2060-03-07 00:00:00,1960.25
11,200.0,f,22.9,Wilma Rudolph ,2060-07-09 00:00:00,1960.5833333333335
12,200.0,f,22.9,Margaret Burvill ,2064-02-22 00:00:00,1964.1666666666665
13,200.0,f,22.7,Irena Kirszenstein ,2065-08-08 00:00:00,1965.6666666666665
14,200.0,f,22.5,Irena Kirszenstein/Szewiska ,1968-10-18 00:00:00,1968.8333333333333
15,200.0,f,22.4,Chi Cheng ,1970-07-12 00:00:00,1970.5833333333333
16,200.0,f,22.4,Renate Stecher ,1972-09-07 00:00:00,1972.75
17,200.0,f,22.1,Renate Stecher ,1973-07-21 00:00:00,1973.5833333333333
18,200.0,f,22.1,Irena Szewiska ,1974-06-13 00:00:00,1974.5
19,200.0,f,22.06,Marita Koch ,1978-05-28 00:00:00,1978.4166666666667
20,200.0,f,22.02,Marita Koch ,1979-06-03 00:00:00,1979.5
21,200.0,f,21.71,Marita Koch ,1979-06-10 00:00:00,1979.5
22,200.0,f,21.71,Marita Koch ,1984-07-21 00:00:00,1984.5833333333333
23,200.0,f,21.71,Heike Drechsler,1986-06-29 00:00:00,1986.5
24,200.0,f,21.71,Heike Drechsler,1986-08-29 00:00:00,1986.6666666666667
25,200.0,f,21.56,Florence Griffith Joyner,1988-09-29 00:00:00,1988.75
26,200.0,f,21.34,Florence Griffith Joyner,1988-09-29 00:00:00,1988.75
