,Distance,Gender,Time,Name,Date,Year
0,25000.0,m,4853.0,Evert Heinström ,2047-10-12 00:00:00,1947.8333333333333
1,25000.0,m,4775.0,Jim Peters ,2053-10-04 00:00:00,1953.8333333333335
2,25000.0,m,4814.0,Antti Viskari ,2055-05-19 00:00:00,1955.4166666666665
3,25000.0,m,4754.0,Eino Oksanen ,2055-09-25 00:00:00,1955.75
4,25000.0,m,4703.0,Sergey Popov ,2058-08-24 00:00:00,1958.6666666666665
5,25000.0,m,4600.0,Abebe Bikila ,2064-10-21 00:00:00,1964.8333333333335
6,25000.0,m,4713.0,Antti Viskari ,2056-05-31 00:00:00,1956.4166666666665
7,25000.0,m,4712.0,Eino Oksanen ,2056-09-30 00:00:00,1956.75
8,25000.0,m,4673.0,Eino Oksanen ,2057-09-29 00:00:00,1957.75
9,25000.0,m,4511.0,Derek Clayton ,1967-12-03 00:00:00,1968.0
10,25000.0,m,4670.0,Mikko Ala-Lappilampi ,1968-09-15 00:00:00,1968.75
11,25000.0,m,4584.0,Lasse Virén ,1971-05-09 00:00:00,1971.4166666666667
12,25000.0,m,4509.0,Seppo Tuominen,1972-05-07 00:00:00,1972.4166666666667
13,25000.0,m,4432.0,Seppo Nikkari ,1972-11-12 00:00:00,1972.9166666666667
14,25000.0,m,4394.0,Rodgers Rop ,2001-05-06 00:00:00,2001.4166666666667
15,25000.0,m,4365.0,Paul Koskei ,2004-05-09 00:00:00,2004.4166666666667
16,25000.0,m,4297.0,Haile Gebrselassie ,2006-03-11 00:00:00,2006.25
17,25000.0,m,4310.0,Samuel Kosgei ,2010-05-09 00:00:00,2010.4166666666667
18,25000.0,m,4278.0,Dennis Kimetto ,2012-05-06 00:00:00,2012.4166666666667
