,Distance,Gender,Time,Name,Date,Year
0,100.0,m,10.6,Donald Lippincott ,2012-07-06 00:00:00,1912.5833333333333
1,100.0,m,10.6,Jackson Scholz ,2020-09-16 00:00:00,1920.75
2,100.0,m,10.4,Charley Paddock,2021-04-23 00:00:00,1921.3333333333333
3,100.0,m,10.4,Eddie Tolan ,2029-08-08 00:00:00,1929.6666666666667
4,100.0,m,10.4,Eddie Tolan ,2029-08-25 00:00:00,1929.6666666666667
5,100.0,m,10.3,Percy Williams,2030-08-09 00:00:00,1930.6666666666667
6,100.0,m,10.3,Eddie Tolan ,2032-08-01 00:00:00,1932.6666666666667
7,100.0,m,10.3,Ralph Metcalfe ,2033-08-12 00:00:00,1933.6666666666667
8,100.0,m,10.3,Eulace Peacock ,2034-08-06 00:00:00,1934.6666666666667
9,100.0,m,10.3,Christiaan Berger ,2034-08-26 00:00:00,1934.6666666666667
10,100.0,m,10.3,Ralph Metcalfe ,2034-09-15 00:00:00,1934.75
11,100.0,m,10.3,Ralph Metcalfe ,2034-09-23 00:00:00,1934.75
12,100.0,m,10.3,Takayoshi Yoshioka ,2035-06-15 00:00:00,1935.5
13,100.0,m,10.2,Jesse Owens,2036-06-20 00:00:00,1936.5
14,100.0,m,10.2,Harold Davis ,2041-06-06 00:00:00,1941.5
15,100.0,m,10.2,Lloyd LaBeach ,2048-05-15 00:00:00,1948.4166666666665
16,100.0,m,10.2,Barney Ewell ,2048-07-09 00:00:00,1948.5833333333335
17,100.0,m,10.2,McDonald Baile,2051-08-25 00:00:00,1951.6666666666665
18,100.0,m,10.2,Heinz Fütterer ,2054-10-31 00:00:00,1954.8333333333335
19,100.0,m,10.2,Bobby Morrow ,2056-05-19 00:00:00,1956.4166666666665
20,100.0,m,10.2,Ira Murchison ,2056-06-01 00:00:00,1956.5
21,100.0,m,10.2,Bobby Morrow ,2056-06-22 00:00:00,1956.5
22,100.0,m,10.2,Ira Murchison ,2056-06-29 00:00:00,1956.5
23,100.0,m,10.2,Bobby Morrow ,2056-06-29 00:00:00,1956.5
24,100.0,m,10.1,Willie Williams I ,2056-08-03 00:00:00,1956.6666666666665
25,100.0,m,10.1,Ira Murchison ,2056-08-04 00:00:00,1956.6666666666665
26,100.0,m,10.1,Leamon King ,2056-10-20 00:00:00,1956.8333333333335
27,100.0,m,10.1,Leamon King ,2056-10-27 00:00:00,1956.8333333333335
28,100.0,m,10.1,Ray Norton ,2059-04-18 00:00:00,1959.3333333333335
29,100.0,m,10.0,Armin Har,2060-06-21 00:00:00,1960.5
30,100.0,m,10.0,Harry Jerome ,2060-07-15 00:00:00,1960.5833333333335
31,100.0,m,10.0,Horacio Esteves ,2064-08-15 00:00:00,1964.6666666666665
32,100.0,m,10.0,Bob Hayes,2064-10-15 00:00:00,1964.8333333333335
33,100.0,m,10.0,Jim Hines ,1967-05-27 00:00:00,1967.4166666666667
34,100.0,m,10.0,Enrique Figuerola ,1967-06-17 00:00:00,1967.5
35,100.0,m,10.0,Paul Nash ,1968-04-02 00:00:00,1968.3333333333333
36,100.0,m,10.0,Oliver Ford ,1968-05-31 00:00:00,1968.4166666666667
37,100.0,m,10.0,Charlie Greene ,1968-06-20 00:00:00,1968.5
38,100.0,m,10.0,Roger Bambuck ,1968-06-20 00:00:00,1968.5
39,100.0,m,9.9,Jim Hines ,1968-06-20 00:00:00,1968.5
40,100.0,m,9.9,Ronnie Ray Smith ,1968-06-20 00:00:00,1968.5
41,100.0,m,9.9,Charlie Greene ,1968-06-20 00:00:00,1968.5
42,100.0,m,9.9,Jim Hines ,1968-10-14 00:00:00,1968.8333333333333
43,100.0,m,9.9,Eddie Hart ,1972-07-01 00:00:00,1972.5833333333333
44,100.0,m,9.9,Rey Robinson ,1972-07-01 00:00:00,1972.5833333333333
45,100.0,m,9.9,Steve Williams,1974-06-21 00:00:00,1974.5
46,100.0,m,9.9,Silvio Leonard ,1975-06-05 00:00:00,1975.5
47,100.0,m,9.9,Steve Williams,1975-07-16 00:00:00,1975.5833333333333
48,100.0,m,9.9,Steve Williams,1975-08-22 00:00:00,1975.6666666666667
49,100.0,m,9.9,Steve Williams,1976-03-27 00:00:00,1976.25
50,100.0,m,9.9,Harvey Glance ,1976-04-03 00:00:00,1976.3333333333333
51,100.0,m,9.9,Harvey Glance ,1976-05-01 00:00:00,1976.4166666666667
52,100.0,m,9.9,Don Quarrie,1976-05-22 00:00:00,1976.4166666666667
53,100.0,m,9.93,Calvin Smith ,1983-07-03 00:00:00,1983.5833333333333
54,100.0,m,9.92,Carl Lewis ,1988-09-24 00:00:00,1988.75
55,100.0,m,9.9,Leroy Burrell ,1991-06-14 00:00:00,1991.5
56,100.0,m,9.86,Carl Lewis ,1991-08-25 00:00:00,1991.6666666666667
57,100.0,m,9.85,Leroy Burrell ,1994-07-06 00:00:00,1994.5833333333333
58,100.0,m,9.84,Donovan Baile,1996-07-27 00:00:00,1996.5833333333333
59,100.0,m,9.79,Maurice Greene ,1999-06-16 00:00:00,1999.5
